level,gender,year,page_title,status
u20,m,1997,1997 FIFA World Youth Championship squads,exists
u20,m,1999,1999 FIFA World Youth Championship squads,exists
u20,m,2001,2001 FIFA World Youth Championship squads,exists
u20,m,2003,2003 FIFA World Youth Championship squads,exists
u20,m,2005,2005 FIFA World Youth Championship squads,exists
u20,m,2007,2007 FIFA U-20 World Cup squads,exists
u20,m,2009,2009 FIFA U-20 World Cup squads,exists
u20,m,2011,2011 FIFA U-20 World Cup squads,exists
u20,m,2013,2013 FIFA U-20 World Cup squads,exists
u20,m,2015,2015 FIFA U-20 World Cup squads,exists
u20,m,2017,2017 FIFA U-20 World Cup squads,exists
u20,m,2019,2019 FIFA U-20 World Cup squads,exists
u20,m,2021,,not_held
u20,m,2023,2023 FIFA U-20 World Cup squads,exists
u20,m,2025,2025 FIFA U-20 World Cup squads,exists
u17,m,1997,1997 FIFA U-17 World Championship squads,exists
u17,m,1999,1999 FIFA U-17 World Championship squads,exists
u17,m,2001,2001 FIFA U-17 World Championship squads,exists
u17,m,2003,2003 FIFA U-17 World Championship squads,exists
u17,m,2005,2005 FIFA U-17 World Championship squads,exists
u17,m,2007,2007 FIFA U-17 World Cup squads,exists
u17,m,2009,2009 FIFA U-17 World Cup squads,exists
u17,m,2011,2011 FIFA U-17 World Cup squads,exists
u17,m,2013,2013 FIFA U-17 World Cup squads,exists
u17,m,2015,2015 FIFA U-17 World Cup squads,exists
u17,m,2017,2017 FIFA U-17 World Cup squads,exists
u17,m,2019,2019 FIFA U-17 World Cup squads,exists
u17,m,2021,,not_held
u17,m,2023,2023 FIFA U-17 World Cup squads,exists
u17,m,2025,2025 FIFA U-17 World Cup squads,exists
u20,w,2002,2002 FIFA U-19 Women's World Championship squads,exists
u20,w,2004,2004 FIFA U-19 Women's World Championship squads,exists
u20,w,2006,2006 FIFA U-20 Women's World Championship squads,exists
u20,w,2008,2008 FIFA U-20 Women's World Cup squads,exists
u20,w,2010,2010 FIFA U-20 Women's World Cup squads,exists
u20,w,2012,2012 FIFA U-20 Women's World Cup squads,exists
u20,w,2014,2014 FIFA U-20 Women's World Cup squads,exists
u20,w,2016,2016 FIFA U-20 Women's World Cup squads,exists
u20,w,2018,2018 FIFA U-20 Women's World Cup squads,exists
u20,w,2020,,not_held
u20,w,2022,2022 FIFA U-20 Women's World Cup squads,exists
u20,w,2024,2024 FIFA U-20 Women's World Cup squads,exists
u17,w,2008,2008 FIFA U-17 Women's World Cup squads,exists
u17,w,2010,2010 FIFA U-17 Women's World Cup squads,exists
u17,w,2012,2012 FIFA U-17 Women's World Cup squads,exists
u17,w,2014,2014 FIFA U-17 Women's World Cup squads,exists
u17,w,2016,2016 FIFA U-17 Women's World Cup squads,exists
u17,w,2018,2018 FIFA U-17 Women's World Cup squads,exists
u17,w,2020,,not_held
u17,w,2022,2022 FIFA U-17 Women's World Cup squads,exists
u17,w,2024,2024 FIFA U-17 Women's World Cup squads,exists
