tournament_id,level,gender,year,page_title,variant,count,description
seniorw2019,senior,w,2019,2019 FIFA Women's World Cup squads,redirect_resolved,17,article title was a redirect; canonical title used
seniorw2023,senior,w,2023,2023 FIFA Women's World Cup squads,bluelink_to_missing_page,5,name linked to a page that does not exist; treated as a redlink
seniorw2023,senior,w,2023,2023 FIFA Women's World Cup squads,name_via_sortname,645,player name given as {{sortname}} rather than a wikilink
seniorw2023,senior,w,2023,2023 FIFA Women's World Cup squads,redirect_resolved,5,article title was a redirect; canonical title used
seniorm2010,senior,m,2010,2010 FIFA World Cup squads,redirect_resolved,19,article title was a redirect; canonical title used
seniorm2014,senior,m,2014,2014 FIFA World Cup squads,player_template:national football squad player,736,non-baseline player template dialect
seniorm2014,senior,m,2014,2014 FIFA World Cup squads,redirect_resolved,17,article title was a redirect; canonical title used
seniorm2018,senior,m,2018,2018 FIFA World Cup squads,redirect_resolved,20,article title was a redirect; canonical title used
seniorm2022,senior,m,2022,2022 FIFA World Cup squads,redirect_resolved,22,article title was a redirect; canonical title used
u17m1999,u17,m,1999,1999 FIFA U-17 World Championship squads,bluelink_to_missing_page,113,name linked to a page that does not exist; treated as a redlink
u17m1999,u17,m,1999,1999 FIFA U-17 World Championship squads,header_code_needs_expansion,5,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u17m1999,u17,m,1999,1999 FIFA U-17 World Championship squads,name_wrapped_in_bold,80,player name wrapped in ''' bold '''
u17m1999,u17,m,1999,1999 FIFA U-17 World Championship squads,redirect_resolved,11,article title was a redirect; canonical title used
u17m2001,u17,m,2001,2001 FIFA U-17 World Championship squads,bluelink_to_missing_page,116,name linked to a page that does not exist; treated as a redlink
u17m2001,u17,m,2001,2001 FIFA U-17 World Championship squads,header_code_needs_expansion,3,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u17m2001,u17,m,2001,2001 FIFA U-17 World Championship squads,name_wrapped_in_bold,68,player name wrapped in ''' bold '''
u17m2001,u17,m,2001,2001 FIFA U-17 World Championship squads,no_wikidata_item,2,article carries no Wikidata item; joined on title instead
u17m2001,u17,m,2001,2001 FIFA U-17 World Championship squads,redirect_resolved,10,article title was a redirect; canonical title used
u17m2003,u17,m,2003,2003 FIFA U-17 World Championship squads,bluelink_to_missing_page,103,name linked to a page that does not exist; treated as a redlink
u17m2003,u17,m,2003,2003 FIFA U-17 World Championship squads,header_code_needs_expansion,3,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u17m2003,u17,m,2003,2003 FIFA U-17 World Championship squads,name_wrapped_in_bold,77,player name wrapped in ''' bold '''
u17m2003,u17,m,2003,2003 FIFA U-17 World Championship squads,no_wikidata_item,1,article carries no Wikidata item; joined on title instead
u17m2003,u17,m,2003,2003 FIFA U-17 World Championship squads,redirect_resolved,18,article title was a redirect; canonical title used
u17m2005,u17,m,2005,2005 FIFA U-17 World Championship squads,bluelink_to_missing_page,113,name linked to a page that does not exist; treated as a redlink
u17m2005,u17,m,2005,2005 FIFA U-17 World Championship squads,header_code_needs_expansion,4,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u17m2005,u17,m,2005,2005 FIFA U-17 World Championship squads,name_wrapped_in_bold,84,player name wrapped in ''' bold '''
u17m2005,u17,m,2005,2005 FIFA U-17 World Championship squads,redirect_resolved,27,article title was a redirect; canonical title used
u17m2007,u17,m,2007,2007 FIFA U-17 World Cup squads,bluelink_to_missing_page,174,name linked to a page that does not exist; treated as a redlink
u17m2007,u17,m,2007,2007 FIFA U-17 World Cup squads,header_code_needs_expansion,5,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u17m2007,u17,m,2007,2007 FIFA U-17 World Cup squads,name_wrapped_in_bold,143,player name wrapped in ''' bold '''
u17m2007,u17,m,2007,2007 FIFA U-17 World Cup squads,redirect_resolved,15,article title was a redirect; canonical title used
u17m2009,u17,m,2009,2009 FIFA U-17 World Cup squads,bluelink_to_missing_page,173,name linked to a page that does not exist; treated as a redlink
u17m2009,u17,m,2009,2009 FIFA U-17 World Cup squads,header_code_needs_expansion,6,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u17m2009,u17,m,2009,2009 FIFA U-17 World Cup squads,name_via_sortname,2,player name given as {{sortname}} rather than a wikilink
u17m2009,u17,m,2009,2009 FIFA U-17 World Cup squads,name_wrapped_in_bold,102,player name wrapped in ''' bold '''
u17m2009,u17,m,2009,2009 FIFA U-17 World Cup squads,redirect_resolved,18,article title was a redirect; canonical title used
u17m2011,u17,m,2011,2011 FIFA U-17 World Cup squads,bluelink_to_missing_page,14,name linked to a page that does not exist; treated as a redlink
u17m2011,u17,m,2011,2011 FIFA U-17 World Cup squads,name_wrapped_in_bold,121,player name wrapped in ''' bold '''
u17m2011,u17,m,2011,2011 FIFA U-17 World Cup squads,player_template:national football squad player,490,non-baseline player template dialect
u17m2011,u17,m,2011,2011 FIFA U-17 World Cup squads,redirect_resolved,15,article title was a redirect; canonical title used
u17m2013,u17,m,2013,2013 FIFA U-17 World Cup squads,bluelink_to_missing_page,187,name linked to a page that does not exist; treated as a redlink
u17m2013,u17,m,2013,2013 FIFA U-17 World Cup squads,name_wrapped_in_bold,103,player name wrapped in ''' bold '''
u17m2013,u17,m,2013,2013 FIFA U-17 World Cup squads,redirect_resolved,23,article title was a redirect; canonical title used
u17m2015,u17,m,2015,2015 FIFA U-17 World Cup squads,bluelink_to_missing_page,200,name linked to a page that does not exist; treated as a redlink
u17m2015,u17,m,2015,2015 FIFA U-17 World Cup squads,name_wrapped_in_bold,101,player name wrapped in ''' bold '''
u17m2015,u17,m,2015,2015 FIFA U-17 World Cup squads,player_template:national football squad player (goals),21,non-baseline player template dialect
u17m2015,u17,m,2015,2015 FIFA U-17 World Cup squads,redirect_resolved,21,article title was a redirect; canonical title used
u17m2017,u17,m,2017,2017 FIFA U-17 World Cup squads,bluelink_to_missing_page,206,name linked to a page that does not exist; treated as a redlink
u17m2017,u17,m,2017,2017 FIFA U-17 World Cup squads,name_wrapped_in_bold,97,player name wrapped in ''' bold '''
u17m2017,u17,m,2017,2017 FIFA U-17 World Cup squads,player_template:nat fs player no caps,504,non-baseline player template dialect
u17m2017,u17,m,2017,2017 FIFA U-17 World Cup squads,redirect_resolved,28,article title was a redirect; canonical title used
u20m1999,u20,m,1999,1999 FIFA World Youth Championship squads,bluelink_to_missing_page,108,name linked to a page that does not exist; treated as a redlink
u20m1999,u20,m,1999,1999 FIFA World Youth Championship squads,header_code_needs_expansion,5,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m1999,u20,m,1999,1999 FIFA World Youth Championship squads,name_wrapped_in_bold,166,player name wrapped in ''' bold '''
u20m1999,u20,m,1999,1999 FIFA World Youth Championship squads,redirect_resolved,10,article title was a redirect; canonical title used
u20m2001,u20,m,2001,2001 FIFA World Youth Championship squads,bluelink_to_missing_page,89,name linked to a page that does not exist; treated as a redlink
u20m2001,u20,m,2001,2001 FIFA World Youth Championship squads,header_code_needs_expansion,6,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2001,u20,m,2001,2001 FIFA World Youth Championship squads,name_wrapped_in_bold,211,player name wrapped in ''' bold '''
u20m2001,u20,m,2001,2001 FIFA World Youth Championship squads,no_wikidata_item,4,article carries no Wikidata item; joined on title instead
u20m2001,u20,m,2001,2001 FIFA World Youth Championship squads,redirect_resolved,20,article title was a redirect; canonical title used
u20m2003,u20,m,2003,2003 FIFA World Youth Championship squads,bluelink_to_missing_page,11,name linked to a page that does not exist; treated as a redlink
u20m2003,u20,m,2003,2003 FIFA World Youth Championship squads,header_code_needs_expansion,5,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2003,u20,m,2003,2003 FIFA World Youth Championship squads,name_wrapped_in_bold,206,player name wrapped in ''' bold '''
u20m2003,u20,m,2003,2003 FIFA World Youth Championship squads,redirect_resolved,22,article title was a redirect; canonical title used
u20m2005,u20,m,2005,2005 FIFA World Youth Championship squads,bluelink_to_missing_page,10,name linked to a page that does not exist; treated as a redlink
u20m2005,u20,m,2005,2005 FIFA World Youth Championship squads,header_code_needs_expansion,5,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2005,u20,m,2005,2005 FIFA World Youth Championship squads,name_wrapped_in_bold,218,player name wrapped in ''' bold '''
u20m2005,u20,m,2005,2005 FIFA World Youth Championship squads,redirect_resolved,18,article title was a redirect; canonical title used
u20m2007,u20,m,2007,2007 FIFA U-20 World Cup squads,bluelink_to_missing_page,3,name linked to a page that does not exist; treated as a redlink
u20m2007,u20,m,2007,2007 FIFA U-20 World Cup squads,header_code_needs_expansion,8,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2007,u20,m,2007,2007 FIFA U-20 World Cup squads,name_wrapped_in_bold,236,player name wrapped in ''' bold '''
u20m2007,u20,m,2007,2007 FIFA U-20 World Cup squads,no_wikidata_item,1,article carries no Wikidata item; joined on title instead
u20m2007,u20,m,2007,2007 FIFA U-20 World Cup squads,redirect_resolved,21,article title was a redirect; canonical title used
u20m2009,u20,m,2009,2009 FIFA U-20 World Cup squads,bluelink_to_missing_page,2,name linked to a page that does not exist; treated as a redlink
u20m2009,u20,m,2009,2009 FIFA U-20 World Cup squads,header_code_needs_expansion,5,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2009,u20,m,2009,2009 FIFA U-20 World Cup squads,name_wrapped_in_bold,219,player name wrapped in ''' bold '''
u20m2009,u20,m,2009,2009 FIFA U-20 World Cup squads,redirect_resolved,18,article title was a redirect; canonical title used
u20m2011,u20,m,2011,2011 FIFA U-20 World Cup squads,bluelink_to_missing_page,2,name linked to a page that does not exist; treated as a redlink
u20m2011,u20,m,2011,2011 FIFA U-20 World Cup squads,header_code_needs_expansion,4,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2011,u20,m,2011,2011 FIFA U-20 World Cup squads,name_wrapped_in_bold,197,player name wrapped in ''' bold '''
u20m2011,u20,m,2011,2011 FIFA U-20 World Cup squads,redirect_resolved,24,article title was a redirect; canonical title used
u20m2013,u20,m,2013,2013 FIFA U-20 World Cup squads,bluelink_to_missing_page,73,name linked to a page that does not exist; treated as a redlink
u20m2013,u20,m,2013,2013 FIFA U-20 World Cup squads,header_code_needs_expansion,6,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2013,u20,m,2013,2013 FIFA U-20 World Cup squads,name_wrapped_in_bold,217,player name wrapped in ''' bold '''
u20m2013,u20,m,2013,2013 FIFA U-20 World Cup squads,redirect_resolved,22,article title was a redirect; canonical title used
u20m2015,u20,m,2015,2015 FIFA U-20 World Cup squads,bluelink_to_missing_page,75,name linked to a page that does not exist; treated as a redlink
u20m2015,u20,m,2015,2015 FIFA U-20 World Cup squads,header_code_needs_expansion,8,team header is a country code COUNTRY_CODES does not know; resolved via expandtemplates
u20m2015,u20,m,2015,2015 FIFA U-20 World Cup squads,name_wrapped_in_bold,207,player name wrapped in ''' bold '''
u20m2015,u20,m,2015,2015 FIFA U-20 World Cup squads,no_wikidata_item,1,article carries no Wikidata item; joined on title instead
u20m2015,u20,m,2015,2015 FIFA U-20 World Cup squads,redirect_resolved,22,article title was a redirect; canonical title used
u20m2017,u20,m,2017,2017 FIFA U-20 World Cup squads,bluelink_to_missing_page,86,name linked to a page that does not exist; treated as a redlink
u20m2017,u20,m,2017,2017 FIFA U-20 World Cup squads,name_wrapped_in_bold,201,player name wrapped in ''' bold '''
u20m2017,u20,m,2017,2017 FIFA U-20 World Cup squads,player_template:nat fs player no caps,504,non-baseline player template dialect
u20m2017,u20,m,2017,2017 FIFA U-20 World Cup squads,redirect_resolved,22,article title was a redirect; canonical title used
u17w2008,u17,w,2008,2008 FIFA U-17 Women's World Cup squads,bluelink_to_missing_page,128,name linked to a page that does not exist; treated as a redlink
u17w2008,u17,w,2008,2008 FIFA U-17 Women's World Cup squads,redirect_resolved,14,article title was a redirect; canonical title used
u17w2010,u17,w,2010,2010 FIFA U-17 Women's World Cup squads,bluelink_to_missing_page,65,name linked to a page that does not exist; treated as a redlink
u17w2010,u17,w,2010,2010 FIFA U-17 Women's World Cup squads,redirect_resolved,15,article title was a redirect; canonical title used
