tournament_id,lang,page_title,variant,count
u17m1999,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 1999,local_linked_players,0
u17m1999,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 1999,local_links_examined,105
u17m1999,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 1999,local_links_with_qid,105
u17m1999,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 1999,local_players_with_qid,0
u17m2001,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,attached_by_shirt_number,2
u17m2001,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,local_linked_players,13
u17m2001,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,local_links_examined,130
u17m2001,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,local_links_with_qid,130
u17m2001,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,local_players_with_qid,13
u17m2001,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,player_column_index:2,1
u17m2003,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,attached_by_shirt_number,9
u17m2003,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,local_linked_players,71
u17m2003,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,local_links_examined,161
u17m2003,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,local_links_with_qid,161
u17m2003,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,local_players_with_qid,71
u17m2003,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,player_column_index:2,8
u17m2003,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,unattached_local_player,5
u17m2005,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,attached_by_shirt_number,1
u17m2005,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,local_linked_players,11
u17m2005,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,local_links_examined,130
u17m2005,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,local_links_with_qid,130
u17m2005,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,local_players_with_qid,11
u17m2005,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,player_column_index:2,2
u17m2005,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,unattached_local_player,1
u17m2007,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,attached_by_shirt_number,3
u17m2007,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,local_linked_players,41
u17m2007,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,local_links_examined,201
u17m2007,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,local_links_with_qid,200
u17m2007,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,local_players_with_qid,41
u17m2007,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,player_column_index:2,6
u17m2009,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,attached_by_shirt_number,4
u17m2009,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,local_linked_players,40
u17m2009,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,local_links_examined,222
u17m2009,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,local_links_with_qid,222
u17m2009,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,local_players_with_qid,40
u17m2009,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,player_column_index:2,5
u17m2011,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,attached_by_shirt_number,21
u17m2011,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,local_linked_players,182
u17m2011,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,local_links_examined,434
u17m2011,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,local_links_with_qid,434
u17m2011,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,local_players_with_qid,182
u17m2011,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,player_column_index:2,16
u17m2011,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,unattached_local_player,4
