tournament_id,level,gender,year,team,lang,page_title,shirt_no,display_name,recovered_qid,method,score,local_article,local_display
u17m2001,u17,m,2001,Japan,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,12,Hisanori Ogawa,Q11460339,shirt_number,1.00,Hisanori Ogawa,Hisanori Ogawa
u17m2001,u17,m,2001,Japan,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2001,13,Sho Kitano,Q4386620,shirt_number,1.00,Sho Kitano,Sho Kitano
u17m2003,u17,m,2003,Colombia,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,4,Victor Vargas,Q18720299,shirt_number,1.00,فيكتور فارغاس,فيكتور فارغاس
u17m2003,u17,m,2003,Mexico,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,16,Pedro Osorio,Q1749863,shirt_number,1.00,بيدرو أوسوريو,بيدرو أوسوريو
u17m2003,u17,m,2003,Mexico,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,18,José De Santiago,Q6293975,shirt_number,1.00,خوسيه سانتياغو,خوسيه سانتياغو
u17m2003,u17,m,2003,Portugal,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,5,Tiago Costa,Q7800058,shirt_number,1.00,تياغو كوستا,تياغو كوستا
u17m2003,u17,m,2003,South Korea,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,2,Kim Jung-hoon,Q372575,shirt_number,1.00,كم جونغ هن (لاعب كرة قدم),كيم جونغ هون
u17m2003,u17,m,2003,South Korea,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,14,Kim Jun,Q485678,shirt_number,1.00,كيم جون,كيم جون
u17m2003,u17,m,2003,Yemen,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,4,Yaser Al-Badani,Q8049879,shirt_number,1.00,ياسر البعداني,ياسر البعداني
u17m2003,u17,m,2003,Yemen,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,7,Fuad Al-Ammari,Q20851300,shirt_number,1.00,فؤاد العماري,فؤاد العماري
u17m2003,u17,m,2003,Yemen,ar,قوائم منتخبات كأس العالم تحت 17 سنة لكرة القدم 2003,11,Ebrahim Saleh,Q16297551,shirt_number,1.00,إبراهيم صالح,إبراهيم صالح
u17m2005,u17,m,2005,Turkey,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2005,4,Erkan Ferin,Q715772,shirt_number,1.00,Đội trưởng (bóng đá),c
u17m2007,u17,m,2007,Ghana,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,2,Abdulai Seidu,Q4665776,shirt_number,1.00,Abdulai Seidu,Abdulai Seidu
u17m2007,u17,m,2007,Ghana,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,13,Meisuna Alhassan,Q6810349,shirt_number,1.00,Meisuna Alhassan,Meisuna Alhassan
u17m2007,u17,m,2007,Japan,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2007,21,Satoshi Yoshida,Q7426427,shirt_number,1.00,Satoshi Yoshida,Satoshi Yoshida
u17m2009,u17,m,2009,Japan,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,1,Jun Kamita,Q6311467,shirt_number,1.00,Jun Kamita,Jun Kamita
u17m2009,u17,m,2009,Japan,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,6,Koji Takano,Q6426466,shirt_number,1.00,Koji Takano,Koji Takano
u17m2009,u17,m,2009,Japan,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,18,Yasuhiro Watanabe,Q11562379,shirt_number,1.00,Yasuhiro Watanabe,Yasuhiro Watanabe
u17m2009,u17,m,2009,Japan,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2009,21,Koki Matsuzawa,Q24082818,shirt_number,1.00,Koki Matsuzawa,Koki Matsuzawa
u17m2011,u17,m,2011,Argentina,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,13,Maximiliano Padilla,Q6007507,shirt_number,1.00,Maximiliano Padilla,Maximiliano Padilla
u17m2011,u17,m,2011,Argentina,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,21,Nicolás Carrasco,Q57497229,shirt_number,1.00,Nicolás Carrasco,Nicolás Carrasco
u17m2011,u17,m,2011,Czech Republic,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,3,Jan Filip,Q348713,shirt_number,1.00,Jan Filip,Jan Filip
u17m2011,u17,m,2011,Czech Republic,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,15,Jan Štěrba,Q3079683,shirt_number,1.00,Jan Štěrba,Jan Štěrba
u17m2011,u17,m,2011,Ecuador,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,1,Walter Chávez,Q75727781,shirt_number,1.00,Walter Chávez (futbolista),Walter Chávez
u17m2011,u17,m,2011,Ecuador,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,2,Jaime Jordan,Q21065364,shirt_number,1.00,Jordan Jaime Plata,Jordan Jaime
u17m2011,u17,m,2011,Ecuador,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,4,Ridder Alcívar,Q23668570,shirt_number,1.00,Ridder Alcívar,Ridder Alcívar
u17m2011,u17,m,2011,Ecuador,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,12,Darwin Cuero,Q63339688,shirt_number,1.00,Darwin Cuero,Darwin Cuero
u17m2011,u17,m,2011,Ecuador,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,14,Eddy Corozo,Q21070693,shirt_number,1.00,Eddy Corozo,Eddy Corozo
u17m2011,u17,m,2011,Ecuador,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,20,Dennys Hurtado,Q5802748,shirt_number,1.00,Dennys Hurtado,Dennys Hurtado
u17m2011,u17,m,2011,Ecuador,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,21,Israel Gutiérrez,Q18043993,shirt_number,1.00,Israel Gutiérrez,Israel Gutiérrez
u17m2011,u17,m,2011,Mexico,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,5,Jorge Caballero,Q124339606,shirt_number,1.00,Jorge Caballero,Jorge Caballero
u17m2011,u17,m,2011,Mexico,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,18,José Tostado,Q3186576,shirt_number,1.00,José Tostado,José Tostado
u17m2011,u17,m,2011,Mexico,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,21,Dilan Nicoletti,Q3027941,shirt_number,1.00,Dilan Nicolletti,Dilan Nicolletti
u17m2011,u17,m,2011,New Zealand,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,1,Scott Basalaj,Q5412901,shirt_number,1.00,Scott Basalaj,Scott Basalaj
u17m2011,u17,m,2011,New Zealand,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,6,Jordan Vale,Q11685280,shirt_number,1.00,Jordan Vale,Jordan Vale
u17m2011,u17,m,2011,New Zealand,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,13,Cameron Martin,Q100879991,shirt_number,1.00,Cameron Martin,Cameron Martin
u17m2011,u17,m,2011,Panama,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,8,Juan Cedeño,Q6299491,shirt_number,1.00,Juan Cedeño,Juan Cedeño
u17m2011,u17,m,2011,Panama,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,14,Edson Samms,Q24010733,shirt_number,1.00,Edson Samms,Edson Samms
u17m2011,u17,m,2011,Uruguay,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,16,Santiago Charamoni,Q3472865,shirt_number,1.00,Santiago Charamoni,Santiago Charamoni
u17m2011,u17,m,2011,Uruguay,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2011,20,Alejandro Furia,Q2832447,shirt_number,1.00,Alejandro Furia,Alejandro Furia
u17m2013,u17,m,2013,Slovakia,vi,Danh sách cầu thủ tham dự giải vô địch bóng đá U-17 thế giới 2013,15,Šimon Kupec,Q17386214,shirt_number,1.00,Šimon Kupec,Šimon Kupec
u17m2015,u17,m,2015,Argentina,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,2,Julián Ferreyra,Q19334163,shirt_number,1.00,Julián Ferreyra,Julián Ferreyra
u17m2015,u17,m,2015,Argentina,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,15,Juan Antonio Di Lorenzo,Q19333687,shirt_number,1.00,Juan Antonio Di Lorenzo,Juan Antonio Di Lorenzo
u17m2015,u17,m,2015,Chile,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,12,Ignacio Azúa,Q111631169,shirt_number,1.00,Ignacio Azúa,Ignacio Azúa
u17m2015,u17,m,2015,Chile,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,14,Luciano Díaz,Q20014558,shirt_number,1.00,Luciano Díaz,Luciano Díaz
u17m2015,u17,m,2015,Chile,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,9,Gabriel Mazuela,Q19510690,shirt_number,1.00,Gabriel Mazuela,Gabriel Mazuela
u17m2015,u17,m,2015,Costa Rica,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,1,Alejandro Barrientos,Q27643995,shirt_number,1.00,Alejandro Barrientos,Alejandro Barrientos
u17m2015,u17,m,2015,Costa Rica,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,13,Miguel Ajú,Q113878747,shirt_number,1.00,Miguel Ajú,Miguel Ajú
u17m2015,u17,m,2015,Costa Rica,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,2,Diego Mesén,Q29790965,shirt_number,1.00,Diego Mesén,Diego Mesén
u17m2015,u17,m,2015,Costa Rica,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,5,Esteban González,Q29796024,shirt_number,1.00,Esteban González Rivera,Esteban González
u17m2015,u17,m,2015,Costa Rica,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,6,Luis Hernández,Q26441355,shirt_number,1.00,Luis José Hernández,Luis Hernández
u17m2015,u17,m,2015,Costa Rica,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,16,Daniel Villegas,Q65561693,shirt_number,1.00,Daniel Villegas,Daniel Villegas
u17m2015,u17,m,2015,Costa Rica,es,Anexo:Equipos participantes en la Copa Mundial de Fútbol Sub-17 de 2015,8,Aarón Murillo,Q124309796,shirt_number,1.00,Aarón Murillo,Aarón Murillo
