tournament_id,level,gender,year,lang,local_main,candidate_title,recoverable_redlinks,status
u17m1999,u17,m,1999,es,Copa Mundial de Fútbol Sub-17 de 1999,,34,no_squad_page
u17m1999,u17,m,1999,fr,Coupe du monde de football des moins de 17 ans 1999,,18,no_squad_page
u17m1999,u17,m,1999,ar,كأس العالم تحت 17 سنة 1999,تشكيلات بطولة العالم تحت 17 سنة لكرة القدم 1999,13,candidate
u17m1999,u17,m,1999,th,ฟุตบอลโลก รุ่นอายุไม่เกิน 17 ปี 1999,,5,no_squad_page
u17m2001,u17,m,2001,es,Copa Mundial de Fútbol Sub-17 de 2001,,26,no_squad_page
u17m2001,u17,m,2001,fr,Coupe du monde de football des moins de 17 ans 2001,,21,no_squad_page
u17m2001,u17,m,2001,ar,كأس العالم تحت 17 سنة 2001,تشكيلات بطولة العالم تحت 17 سنة لكرة القدم 2001,12,candidate
u17m2001,u17,m,2001,fa,,,12,no_local_tournament_article
u17m2003,u17,m,2003,es,Copa Mundial de Fútbol Sub-17 de 2003,,37,no_squad_page
u17m2003,u17,m,2003,ar,كأس العالم تحت 17 سنة لكرة القدم 2003,تشكيلات بطولة العالم تحت 17 سنة لكرة القدم 2003,12,candidate
u17m2003,u17,m,2003,fr,Coupe du monde de football des moins de 17 ans 2003,,11,no_squad_page
u17m2003,u17,m,2003,ko,2003년 FIFA U-17 세계 축구 선수권 대회,2003년 FIFA U-17 세계 축구 선수권 대회 선수 명단,7,candidate
u17m2005,u17,m,2005,es,Copa Mundial de Fútbol Sub-17 de 2005,,31,no_squad_page
u17m2005,u17,m,2005,fr,Coupe du monde de football des moins de 17 ans 2005,,13,no_squad_page
u17m2005,u17,m,2005,ko,2005년 FIFA U-17 세계 축구 선수권 대회,2005년 FIFA U-17 세계 축구 선수권 대회 선수 명단,13,candidate
u17m2005,u17,m,2005,ar,كأس العالم تحت 17 سنة لكرة القدم 2005,تشكيلات بطولة العالم تحت 17 سنة لكرة القدم 2005,12,candidate
u17m2007,u17,m,2007,es,Copa Mundial de Fútbol Sub-17 de 2007,,51,no_squad_page
u17m2007,u17,m,2007,fr,Coupe du monde de football des moins de 17 ans 2007,,51,no_squad_page
u17m2007,u17,m,2007,ko,2007년 FIFA U-17 월드컵,2007년 FIFA U-17 월드컵 선수 명단,23,candidate
