tournament_id,level,gender,year,team,shirt_no,position,player_article,player_qid,display_name,source_url,birth_year
seniorw2019,senior,w,2019,France,1,GK,Solène Durand,Q3489704,Solène Durand,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1994
seniorw2019,senior,w,2019,France,2,DF,Ève Périsset,Q18684573,Ève Périsset,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1994
seniorw2019,senior,w,2019,France,3,DF,Wendie Renard,Q437048,Wendie Renard,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1990
seniorw2019,senior,w,2019,France,4,DF,Marion Torrent,Q3091307,Marion Torrent,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1992
seniorw2019,senior,w,2019,France,5,DF,Aïssatou Tounkara,Q16525592,Aïssatou Tounkara,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1995
seniorw2019,senior,w,2019,France,6,MF,Amandine Henry,Q454261,Amandine Henry,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1989
seniorw2019,senior,w,2019,France,7,DF,Sakina Karchaoui,Q23874818,Sakina Karchaoui,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1996
seniorw2019,senior,w,2019,France,8,MF,Grace Geyoro,Q18578093,Grace Geyoro,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1997
seniorw2019,senior,w,2019,France,9,FW,Eugénie Le Sommer,Q465343,Eugénie Le Sommer,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1989
seniorw2019,senior,w,2019,France,10,DF,Amel Majri,Q2733405,Amel Majri,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1993
seniorw2019,senior,w,2019,France,11,FW,Kadidiatou Diani,Q3191779,Kadidiatou Diani,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1995
seniorw2019,senior,w,2019,France,12,FW,Emelyne Laurent,Q51137921,Emelyne Laurent,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1998
seniorw2019,senior,w,2019,France,13,FW,Valérie Gauvin,Q21032113,Valérie Gauvin,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1996
seniorw2019,senior,w,2019,France,14,MF,Charlotte Bilbault,Q5085849,Charlotte Bilbault,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1990
seniorw2019,senior,w,2019,France,15,MF,Élise Bussaglia,Q274720,Élise Bussaglia,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1985
seniorw2019,senior,w,2019,France,16,GK,Sarah Bouhaddi,Q454825,Sarah Bouhaddi,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1986
seniorw2019,senior,w,2019,France,17,MF,Gaëtane Thiney,Q457475,Gaëtane Thiney,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1985
seniorw2019,senior,w,2019,France,18,FW,Viviane Asseyi,Q3091823,Viviane Asseyi,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1993
seniorw2019,senior,w,2019,France,19,DF,Griedge Mbock Bathy,Q3116598,Griedge Mbock Bathy,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1995
seniorw2019,senior,w,2019,France,20,FW,Delphine Cascarino,Q3021812,Delphine Cascarino,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1997
seniorw2019,senior,w,2019,France,21,GK,Pauline Peyraud-Magnin,Q49268385,Pauline Peyraud-Magnin,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1992
seniorw2019,senior,w,2019,France,22,DF,Julie Debever,Q52153495,Julie Debever,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1988
seniorw2019,senior,w,2019,France,23,MF,Maéva Clemaron,Q57294152,Maéva Clemaron,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1992
seniorw2019,senior,w,2019,Nigeria,1,GK,Tochukwu Oluehi,Q7812017,Tochukwu Oluehi,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1987
seniorw2019,senior,w,2019,Nigeria,2,MF,Amarachi Okoronkwo,Q52423868,Amarachi Okoronkwo,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1992
seniorw2019,senior,w,2019,Nigeria,3,DF,Osinachi Ohale,Q16320556,Osinachi Ohale,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1991
seniorw2019,senior,w,2019,Nigeria,4,DF,Ngozi Ebere,Q20090636,Ngozi Ebere,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1991
seniorw2019,senior,w,2019,Nigeria,5,DF,Onome Ebi,Q4945625,Onome Ebi,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1983
seniorw2019,senior,w,2019,Nigeria,6,MF,Evelyn Nwabuoku,Q20640691,Evelyn Nwabuoku,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1985
seniorw2019,senior,w,2019,Nigeria,7,FW,Anam Imo,Q53567852,Anam Imo,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,2000
seniorw2019,senior,w,2019,Nigeria,8,FW,Asisat Oshoala,Q17747951,Asisat Oshoala,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1994
seniorw2019,senior,w,2019,Nigeria,9,FW,Desire Oparanozie,Q1200737,Desire Oparanozie,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1993
seniorw2019,senior,w,2019,Nigeria,10,MF,Rita Chikwelu,Q438152,Rita Chikwelu,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1988
seniorw2019,senior,w,2019,Nigeria,11,FW,Chinaza Uchendu,Q60054930,Chinaza Uchendu,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1997
seniorw2019,senior,w,2019,Nigeria,12,FW,Uchenna Kanu,Q63040642,Uchenna Kanu,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1997
seniorw2019,senior,w,2019,Nigeria,13,MF,Ngozi Okobi-Okeoghene,Q20072819,Ngozi Okobi-Okeoghene,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1993
seniorw2019,senior,w,2019,Nigeria,14,DF,Faith Michael,Q1393555,Faith Michael,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1987
seniorw2019,senior,w,2019,Nigeria,15,FW,Rasheedat Ajibade,Q50082738,Rasheedat Ajibade,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1999
seniorw2019,senior,w,2019,Nigeria,16,GK,Chiamaka Nnadozie,Q60076556,Chiamaka Nnadozie,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,2000
seniorw2019,senior,w,2019,Nigeria,17,FW,Francisca Ordega,Q1441832,Francisca Ordega,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1993
seniorw2019,senior,w,2019,Nigeria,18,MF,Halimatu Ayinde,Q20090190,Halimatu Ayinde,https://en.wikipedia.org/wiki/2019_FIFA_Women%27s_World_Cup_squads,1995
