team,gender,senior_year,youth_level,youth_year,status
Argentina,w,2019,u20,2008,ingested
Australia,w,2019,u20,2008,not_qualified
Brazil,w,2019,u20,2008,ingested
Cameroon,w,2019,u20,2008,not_qualified
Canada,w,2019,u20,2008,ingested
Chile,w,2019,u20,2008,ingested
China PR,w,2019,u20,2008,ingested
England,w,2019,u20,2008,ingested
France,w,2019,u20,2008,ingested
Germany,w,2019,u20,2008,ingested
Italy,w,2019,u20,2008,not_qualified
Jamaica,w,2019,u20,2008,not_qualified
Japan,w,2019,u20,2008,ingested
Netherlands,w,2019,u20,2008,not_qualified
New Zealand,w,2019,u20,2008,ingested
Nigeria,w,2019,u20,2008,ingested
Norway,w,2019,u20,2008,ingested
Scotland,w,2019,u20,2008,not_qualified
South Africa,w,2019,u20,2008,not_qualified
South Korea,w,2019,u20,2008,not_qualified
Spain,w,2019,u20,2008,not_qualified
Sweden,w,2019,u20,2008,not_qualified
Thailand,w,2019,u20,2008,not_qualified
United States,w,2019,u20,2008,ingested
Argentina,w,2019,u20,2010,not_qualified
Australia,w,2019,u20,2010,not_qualified
Brazil,w,2019,u20,2010,ingested
Cameroon,w,2019,u20,2010,not_qualified
Canada,w,2019,u20,2010,not_qualified
Chile,w,2019,u20,2010,not_qualified
China PR,w,2019,u20,2010,not_qualified
England,w,2019,u20,2010,ingested
France,w,2019,u20,2010,ingested
Germany,w,2019,u20,2010,ingested
Italy,w,2019,u20,2010,not_qualified
Jamaica,w,2019,u20,2010,not_qualified
Japan,w,2019,u20,2010,ingested
Netherlands,w,2019,u20,2010,not_qualified
New Zealand,w,2019,u20,2010,ingested
Nigeria,w,2019,u20,2010,ingested
Norway,w,2019,u20,2010,not_qualified
Scotland,w,2019,u20,2010,not_qualified
South Africa,w,2019,u20,2010,not_qualified
South Korea,w,2019,u20,2010,ingested
Spain,w,2019,u20,2010,not_qualified
Sweden,w,2019,u20,2010,ingested
Thailand,w,2019,u20,2010,not_qualified
United States,w,2019,u20,2010,ingested
Argentina,w,2019,u20,2012,ingested
Australia,w,2019,u20,2012,not_qualified
Brazil,w,2019,u20,2012,ingested
Cameroon,w,2019,u20,2012,not_qualified
Canada,w,2019,u20,2012,ingested
Chile,w,2019,u20,2012,not_qualified
China PR,w,2019,u20,2012,ingested
England,w,2019,u20,2012,not_qualified
France,w,2019,u20,2012,not_qualified
Germany,w,2019,u20,2012,ingested
Italy,w,2019,u20,2012,ingested
Jamaica,w,2019,u20,2012,not_qualified
Japan,w,2019,u20,2012,ingested
Netherlands,w,2019,u20,2012,not_qualified
New Zealand,w,2019,u20,2012,ingested
Nigeria,w,2019,u20,2012,ingested
Norway,w,2019,u20,2012,ingested
Scotland,w,2019,u20,2012,not_qualified
